id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
42191369,新宿2分鐘/西新宿步行3分鐘/成田羽田機場巴士直達#1-602,62915585,Jacky,,Shinjuku Ku,35.69672,139.69043,Entire home/apt,11800,1,0,,,14,90
42191877,新宿2分鐘/西新宿步行3分鐘/成田羽田機場巴士直達#1-502,62915585,Jacky,,Shinjuku Ku,35.69589,139.69045,Entire home/apt,11800,1,0,,,14,87
42192252,新宿2分鐘/西新宿步行3分鐘/成田羽田機場巴士直達#1-301,62915585,Jacky,,Shinjuku Ku,35.69652,139.69007,Entire home/apt,11800,1,0,,,14,63
42192555,新宿2分鐘/西新宿步行3分鐘/成田羽田機場巴士直達#1-203,62915585,Jacky,,Shinjuku Ku,35.69666,139.69148,Entire home/apt,11800,1,0,,,14,0
42194915,【102】4min to Kita-Shinagawa Sta./FREE WIFI&Netflix,93461462,Tusk,,Shinagawa Ku,35.62166,139.74058,Entire home/apt,6845,1,5,2020-07-12,0.45,2,31
42195547,The Standard Apartment Shibuya D,61729485,ｻﾞｽﾀﾝﾀﾞｰﾄﾞｱﾊﾟｰﾄﾒﾝﾄ渋谷,,Shibuya Ku,35.67775,139.66919,Private room,6643,1,0,,,5,181
42205777,ホテル サンクリスター 201ＪＲ王子駅6分1Kマンション！ 地下鉄5分！トイレバス別置！環境良好！,335070394,章男,,Kita Ku,35.7579,139.73823,Entire home/apt,5000,2,1,2020-11-30,0.50,2,29
42207564,Nr Tokyo Skytree♪ 2 stations☆Asakusa 5 min☆,335191200,弘子,,Sumida Ku,35.71475,139.81422,Entire home/apt,12800,2,7,2020-12-31,0.71,1,118
42211811,BLUE EMPIRE HOTEL @ DOUBLE ROOM  -  A,335257890,Blue,,Shinjuku Ku,35.69955,139.6981,Private room,3500,1,16,2021-01-10,1.45,9,9
42212301,コロナ対策割引 ★戸建貸切/京成小岩駅徒歩４分/スカイツリー１１分・浅草１６分/１０名収容,322525330,Hajime,,Edogawa Ku,35.7408,139.88183,Entire home/apt,6750,3,14,2021-01-05,1.33,2,188
42212809,BLUE EMPIRE HOTEL @ TWIN ROOM  -  A,335257890,Blue,,Shinjuku Ku,35.70055,139.69815,Private room,3500,1,0,,,9,9
